1,14884
2,14802
3,14524
4,14602
5,14183
6,14986
7,14208
8,14360
9,14098
10,14260
11,14371
12,14523
13,14674
14,14540
15,14841
16,14261
17,14610
18,14364
19,14125
20,14224
21,14575
22,14185
23,14496
24,14018
25,14946
26,14703
27,14308
28,14814
29,14627
30,14336
31,14505
32,14679
33,14211
34,14690
35,14957
36,14045
37,14893
38,14206
39,14513
40,14237
41,14705
42,14763
43,14397
44,14852
45,14532
46,14990
47,14412
48,14812
49,14775
50,14755
51,14336
52,14051
53,14254
54,14207
55,14702
56,14423
57,14355
58,14749
59,14696
60,14684
61,14829
62,14168
63,14464
64,14506
65,14725
66,14408
67,14762
68,14801
69,14727
70,14452
71,14163
